,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
koi_fpflag_nt,1.0,-0.24114836226245503,0.0030623673695372674,0.05079039426475333,0.40872373398028294,0.353231092374243,-0.353231092374243,0.24938112794793119,0.2506967443338665,-0.2506967443338665,0.07274819687819915,-0.012333243541902414,-0.05904767751165701,0.28711844540922776,0.33755785394522114,-0.33755785394522114,-0.0439418453061879,0.03192161906610584,-0.03192161906610584,0.054409527690928605,0.06166240965413345,-0.05127324660849288,-0.003013380213199688,-0.0005662486736301729,0.017538294029225777,-0.0021404777094632043,-0.07924111913277158,0.0359023232429708,0.105007919296559,0.12944397856626222,-0.14956496558371793,-0.12857555260890943,0.05321412167643917,-0.14024755447988324,0.045534897538516195,0.09810022877047422,-0.06228302200040356,0.030919870345070356,-0.04650967682533901,-0.10164292477191095
koi_fpflag_ss,-0.24114836226245503,1.0,0.14451625842612853,0.10169497855066267,-0.1559643884045092,-0.13420767906950995,0.13420767906950995,-0.11146888837639352,-0.17704308800918214,0.17704308800918214,0.042021449900032794,0.13037871734213052,0.05463259115199125,0.014224458668038245,-0.18171609442228892,0.18171609442228892,0.42388317533955827,0.003900257559194339,-0.003900257559194339,-0.0007518123053410149,0.0042411144249579836,0.0033933784701890954,0.19184215799123064,0.03131547477872808,0.03096242650300638,-0.02371898810550488,0.4397644215292919,-0.1847206857786737,0.10459988973888569,0.2223323949954344,-0.18503624841180666,-0.05339409436044001,0.1188998412687317,-0.06180008267242334,0.03263830314369082,0.0307826764329617,-0.034282959281620465,0.08801043234878106,-0.05347057790110702,-0.006009396554863171
koi_fpflag_co,0.0030623673695372674,0.14451625842612853,1.0,0.5382798424009314,-0.1647924995790184,-0.08435134811160888,0.08435134811160888,-0.12145164967838204,-0.023107063719527463,0.023107063719527463,0.007500515738206866,0.09764189625065005,0.0026089965840790847,-0.04839793746783173,-0.004961392058376038,0.004961392058376038,-0.1329393404697949,-0.011108442513192696,0.011108442513192696,-0.013284454050606914,-0.015563127982945388,0.012901385145769962,0.25904520042692986,0.01808563243697162,0.016958433292917303,-0.011542508887702191,-0.13447874147759933,-0.12291080459861305,0.01675047654434946,0.15976099900458202,-0.12124682149789524,-0.012101109269862312,-0.019921289810636893,-0.057406115846495555,0.03212878695180333,0.02923935824885828,-0.0166114347054789,0.1599877343056435,-0.09402702696364322,0.06702263427043789
koi_fpflag_ec,0.05079039426475333,0.10169497855066267,0.5382798424009314,1.0,-0.1389459529623967,-0.07990298027682423,0.07990298027682423,-0.0997595932198495,0.013634775932583689,-0.013634775932583689,-0.004912749201615327,0.03056789472709577,0.011325965655824331,0.02323195391066219,0.025358620766817025,-0.025358620766817025,-0.08800061662223026,-0.0030618977493381944,0.0030618977493381944,-0.011077938915488713,-0.013317905190946598,0.00991313564460845,0.2186235530939044,0.03487379017967843,0.04564709878160568,-0.028258658644666527,-0.09190488484210978,-0.10397628619040551,0.012410844173110874,0.12007820146733766,-0.08360675105005705,0.003066365627246026,-0.006110855499039344,-0.05230664778676191,0.022410825414546323,0.030085113608649395,-0.011970135911150679,0.06969321263247424,-0.045495234450441895,0.04793226589621131
koi_period,0.40872373398028294,-0.1559643884045092,-0.1647924995790184,-0.1389459529623967,1.0,0.6748424213242448,-0.6748424213242448,0.6551859179416908,0.27252898854078056,-0.27252898854078056,0.06757118356741988,0.012135664318892916,-0.07460704384011425,0.3244875300998037,0.3736698204432109,-0.3736698204432109,-0.06427184274000546,0.038613576505801946,-0.038613576505801946,0.07278967669376825,0.052352742217006885,-0.07073570783730691,-0.39000623029470743,-0.02174267549656503,-0.02990515624422199,0.020268062543518445,-0.08145574640878406,-0.022590186414831397,0.021805641577779873,0.03683810847200117,-0.036036203412412406,-0.055409725172641124,-0.006146825232271955,-0.16808582917115547,0.017589846443009302,0.04128902476168904,-0.008775693853504652,-0.03067546187248366,0.011225629998700444,-0.04595896586521183
koi_period_err1,0.353231092374243,-0.13420767906950995,-0.08435134811160888,-0.07990298027682423,0.6748424213242448,1.0,-1.0,0.4696125043396727,0.4720337710183538,-0.4720337710183538,0.028068148712775607,-0.004698825878548915,-0.039731985281690335,0.26846949791984437,0.5298206325057929,-0.5298206325057929,-0.06913817227706595,0.009823214357525816,-0.009823214357525816,0.030522398692204553,0.02172642912361141,-0.030553575763730276,-0.22943801127266636,-0.0117722803739969,-0.01615707364488065,0.01094511737868509,-0.08229857727436125,0.021397931423322837,0.03277629341676734,0.07835662503818033,-0.055134034310133424,-0.014447049500826708,0.005737322787165184,-0.14027676540365885,0.015100206840998958,0.03315229860341791,-0.008889867399868063,-0.005353209171644024,0.007145255208847464,-0.03409747908825193
koi_period_err2,-0.353231092374243,0.13420767906950995,0.08435134811160888,0.07990298027682423,-0.6748424213242448,-1.0,1.0,-0.4696125043396727,-0.4720337710183538,0.4720337710183538,-0.028068148712775607,0.004698825878548915,0.039731985281690335,-0.26846949791984437,-0.5298206325057929,0.5298206325057929,0.06913817227706595,-0.009823214357525816,0.009823214357525816,-0.030522398692204553,-0.02172642912361141,0.030553575763730276,0.22943801127266636,0.0117722803739969,0.01615707364488065,-0.01094511737868509,0.08229857727436125,-0.021397931423322837,-0.03277629341676734,-0.07835662503818033,0.055134034310133424,0.014447049500826708,-0.005737322787165184,0.14027676540365885,-0.015100206840998958,-0.03315229860341791,0.008889867399868063,0.005353209171644024,-0.007145255208847464,0.03409747908825193
koi_time0bk,0.24938112794793119,-0.11146888837639352,-0.12145164967838204,-0.0997595932198495,0.6551859179416908,0.4696125043396727,-0.4696125043396727,1.0,0.1628452749421134,-0.1628452749421134,0.05559700513779677,0.0443988246042932,-0.0656492150660132,0.20097940035642367,0.22848522172915217,-0.22848522172915217,-0.03719457639703465,0.05559664339576123,-0.05559664339576123,0.03981416281368951,0.04149637834523629,-0.03797728935717703,-0.3155099459468161,-0.021306842906464157,-0.028232058245728296,0.020156434905421895,-0.05852199869196679,-0.006344170469642102,0.003641354726272184,0.0399811889391921,-0.03010143281819792,-0.0019294555432223081,-0.03188994185222521,-0.10746683353164667,-0.0048309135108503655,0.006443973717477363,0.011434161663208457,-0.0169812749208125,0.010482579113169846,0.021897518766185523
koi_time0bk_err1,0.2506967443338665,-0.17704308800918214,-0.023107063719527463,0.013634775932583689,0.27252898854078056,0.4720337710183538,-0.4720337710183538,0.1628452749421134,1.0,-1.0,0.02314957989103031,-0.015680090528433457,-0.0352773582313632,0.19930540271320174,0.5191433984311145,-0.5191433984311145,-0.11043057297540601,0.01509367916612232,-0.01509367916612232,0.014574799636875248,0.03108615395681606,-0.013118974003393092,-0.10667138340115366,-0.003326757455910799,-0.005414436734652987,0.00017190983137543674,-0.13203230793431342,0.06904068759439831,0.04993401314243178,0.06375335391989742,-0.05611131195573778,-0.04628495301387709,0.03513094779498699,-0.11673011035236992,0.04714207782866517,0.06806512603637029,-0.042651652373438605,-0.0038044493930168657,-0.00918754500048071,-0.04111858486401431
koi_time0bk_err2,-0.2506967443338665,0.17704308800918214,0.023107063719527463,-0.013634775932583689,-0.27252898854078056,-0.4720337710183538,0.4720337710183538,-0.1628452749421134,-1.0,1.0,-0.02314957989103031,0.015680090528433457,0.0352773582313632,-0.19930540271320174,-0.5191433984311145,0.5191433984311145,0.11043057297540601,-0.01509367916612232,0.01509367916612232,-0.014574799636875248,-0.03108615395681606,0.013118974003393092,0.10667138340115366,0.003326757455910799,0.005414436734652987,-0.00017190983137543674,0.13203230793431342,-0.06904068759439831,-0.04993401314243178,-0.06375335391989742,0.05611131195573778,0.04628495301387709,-0.03513094779498699,0.11673011035236992,-0.04714207782866517,-0.06806512603637029,0.042651652373438605,0.0038044493930168657,0.00918754500048071,0.04111858486401431
koi_impact,0.07274819687819915,0.042021449900032794,0.007500515738206866,-0.004912749201615327,0.06757118356741988,0.028068148712775607,-0.028068148712775607,0.05559700513779677,0.02314957989103031,-0.02314957989103031,1.0,0.12876883407674597,-0.8352206905103017,0.03859441784245682,0.021648565263121283,-0.021648565263121283,0.0010880923520087734,0.0029659732052365584,-0.0029659732052365584,0.738675972058415,0.793394681865823,-0.6740174656107661,-0.012648097331847186,-0.003793489085363167,-0.002565877973142571,0.003180617667380507,-0.0024285479181704508,-0.006689452970411062,0.013467156286808888,0.019105167317288205,-0.042486103330836696,-0.07379847671096568,0.0035747881335145737,0.005371228319223868,0.030429269550094677,0.027215740013551273,-0.04057650989306118,0.018978667492059204,0.00035701216906807234,-0.0004939294609029258
koi_impact_err1,-0.012333243541902414,0.13037871734213052,0.09764189625065005,0.03056789472709577,0.012135664318892916,-0.004698825878548915,0.004698825878548915,0.0443988246042932,-0.015680090528433457,0.015680090528433457,0.12876883407674597,1.0,-0.19828517254930264,0.00472881292951137,0.00039250944897062455,-0.00039250944897062455,-0.04271022313355163,0.002403285672794973,-0.002403285672794973,0.026624928164283603,0.043433475049081544,-0.019822641721259904,-0.0682948081564021,-0.007583472480346702,-0.010198824961143708,0.007086208829785153,-0.053085851438641765,-0.016021281134821954,-0.011452290911162146,0.04917104934505886,-0.03502615554750306,0.006962682429795648,0.004925084334224262,-0.010891337204388889,0.0027778362018219195,-0.003580666541646008,-0.0033208137052298413,0.031274598028046365,-0.025839639259363386,0.05874225327490921
koi_impact_err2,-0.05904767751165701,0.05463259115199125,0.0026089965840790847,0.011325965655824331,-0.07460704384011425,-0.039731985281690335,0.039731985281690335,-0.0656492150660132,-0.0352773582313632,0.0352773582313632,-0.8352206905103017,-0.19828517254930264,1.0,-0.028260033907603725,-0.04586439689755424,0.04586439689755424,0.05527812840559769,-0.0053864871282278595,0.0053864871282278595,-0.593278621475363,-0.6200403113734017,0.5401829129044777,0.047298848147400735,0.0042650883395294005,0.00592997292475396,-0.003202996208821126,0.06696447670484171,-0.026365642085669477,0.01333626464852835,0.012838637533468186,0.010564442147908467,0.042619157298972234,0.020665046282161308,-0.019614132089093954,-0.02261220168388966,-0.013278049385752529,0.02784276931406877,0.0032506004235885403,-0.005763351922772939,-0.007268109094590492
koi_duration,0.28711844540922776,0.014224458668038245,-0.04839793746783173,0.02323195391066219,0.3244875300998037,0.26846949791984437,-0.26846949791984437,0.20097940035642367,0.19930540271320174,-0.19930540271320174,0.03859441784245682,0.00472881292951137,-0.028260033907603725,1.0,0.3591064948869898,-0.3591064948869898,0.07285994028812003,0.0028117213726340903,-0.0028117213726340903,0.04148447022237485,0.021717469026683665,-0.04012798523308511,-0.1826776058599446,-0.01736736331758766,-0.0201615423157748,0.01678004277234957,0.07340101095616847,-0.011103334243230378,0.10260207316880712,0.05904148710747174,-0.0646916537586333,-0.1297625029907379,0.1034745407657302,-0.07516126280661399,0.016414420442219083,0.051874195545530376,-0.021147003045936072,0.03893337821765347,-0.03498525267085306,-0.10066539627746693
